Count;ComponentName;RefDes;Value;Description;cost;pins;consumption;sq;Link;pack;sqP;зфсл;manufactor;man;lock;pach
;CR0603;R96;200;чип резистор 0603;0,07;2;63;2,41;;smd603;;;;;;
;CR0603;R97;200;чип резистор 0603;0,07;2;63;2,41;;smd603;;;;;;
;CR0603;R98;200;чип резистор 0603;0,07;2;63;2,41;;smd603;;;;;;
;CR0603;R99;200;чип резистор 0603;0,07;2;63;2,41;;smd603;;;;;;
;CR0603;R100;200;чип резистор 0603;0,07;2;63;2,41;;smd603;;;;;;
;CR0603;R101;200;чип резистор 0603;0,07;2;63;2,41;;smd603;;;;;;
;CR0603;R102;200;чип резистор 0603;0,07;2;63;2,41;;smd603;;;;;;
;CR0603;R103;200;чип резистор 0603;0,07;2;63;2,41;;smd603;;;;;;
;CR0603;R104;200;чип резистор 0603;0,07;2;63;2,41;;smd603;;;;;;
;CR0603;R105;200;чип резистор 0603;0,07;2;63;2,41;;smd603;;;;;;
;CR0603;R106;200;чип резистор 0603;0,07;2;63;2,41;;smd603;;;;;;
;CR0603;R107;200;чип резистор 0603;0,07;2;63;2,41;;smd603;;;;;;
;CR0603;R108;200;чип резистор 0603;0,07;2;63;2,41;;smd603;;;;;;
;CR0603;R109;200;чип резистор 0603;0,07;2;63;2,41;;smd603;;;;;;
;CR0603;R110;200;чип резистор 0603;0,07;2;63;2,41;;smd603;;;;;;
;CR0603;R111;200;чип резистор 0603;0,07;2;63;2,41;;smd603;;;;;;
;CR0603;R112;200;чип резистор 0603;0,07;2;63;2,41;;smd603;;;;;;
;CR0603;R113;200;чип резистор 0603;0,07;2;63;2,41;;smd603;;;;;;
;CR0603;R114;200;чип резистор 0603;0,07;2;63;2,41;;smd603;;;;;;
;CR0603;R115;200;чип резистор 0603;0,07;2;63;2,41;;smd603;;;;;;
;CR0603;R116;200;чип резистор 0603;0,07;2;63;2,41;;smd603;;;;;;
2;CR0603;R170;NC;чип резистор 0603;0,07;2;63;2,41;;smd603;;;;;;
;CR0603;R171;NC;чип резистор 0603;0,07;2;63;2,41;;smd603;;;;;;
1;IN74AC00D;DD3;;4х(2вх.И-НЕ);10;;;67;;SOIC14;;;;;;
12;IN74AC192D;DD4;;;;;;;;;;;;;;
;IN74AC192D;DD5;;;;;;;;;;;;;;
;IN74AC192D;DD6;;;;;;;;;;;;;;
;IN74AC192D;DD7;;;;;;;;;;;;;;
;IN74AC192D;DD16;;;;;;;;;;;;;;
;IN74AC192D;DD17;;;;;;;;;;;;;;
;IN74AC192D;DD18;;;;;;;;;;;;;;
;IN74AC192D;DD19;;;;;;;;;;;;;;
;IN74AC192D;DD20;;;;;;;;;;;;;;
;IN74AC192D;DD21;;;;;;;;;;;;;;
;IN74AC192D;DD22;;;;;;;;;;;;;;
;IN74AC192D;DD23;;;;;;;;;;;;;;
1;KP-2012EC;VD7;ON;SMD светодиод 0805;5,77;;;50;;SMD 0805;;;;;;
1;KPA-1606EC;VD6;DELTA EN;SMD светодиод 0603;5,77;;;3;;SMD 0603;;;;;;
1;KPA-1606EC;VD5;ENABLE COUNT;SMD светодиод 0603;5,77;;;3;;SMD 0603;;;;;;
